Question,Answer
When was the first successful brain-controlled prosthetic arm?,2008
What is the main source of energy for a pyroelectric generator?,Temperature change
Who was the first woman to win a Fields Medal?,Maryam Mirzakhani
What is the largest species of scorpion?,Emperor scorpion
What is the capital of Liberia?,Monrovia
When was the first successful bioprinted cartilage transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The House of the Spirits?,Isabel Allende
What is the longest river in Australia?,Murray
What is the currency of Liberia?,Dollar
When was the first successful quantum key distribution?,1984
What is the main function of the thalamus?,Relay sensory signals
Who was the first person to reach the summit of Tirich Mir?,Arne Næss
What is the largest species of grasshopper?,Giant weta
What is the capital of Sierra Leone?,Freetown
When was the first successful lab-grown heart valve transplant?,2011
What is the primary source of energy for Earth's climate?,Sun
Who discovered the theory of gamma-ray bursts?,Ray Klebesadel
What is the largest species of dragonfly?,Megaloprepus caerulatus
What is the official language of Sierra Leone?,English
When was the first successful brain-controlled prosthetic hand?,2014
What is the main source of energy for a magnetostrictive generator?,Magnetic field change
Who was the first woman to win a Turing Award?,Frances Allen
What is the largest species of butterfly?,Queen Alexandra's birdwing
What is the capital of Togo?,Lome
When was the first successful bioprinted skin transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The God of Small Things?,Arundhati Roy
What is the longest river in Africa?,Nile
What is the currency of Togo?,Franc
When was the first successful quantum computing algorithm?,1994
What is the main function of the hypothalamus?,Regulate body temperature
Who was the first person to reach the summit of Rakaposhi?,Mike Banks
What is the largest species of moth?,Atlas moth
What is the capital of Benin?,Porto-Novo
When was the first successful lab-grown muscle tissue transplant?,2015
What is the primary source of energy for Earth's climate?,Sun
Who discovered the theory of black hole thermodynamics?,Jacob Bekenstein
What is the largest species of firefly?,Luciola mingrelica
What is the official language of Benin?,French
When was the first successful brain-controlled speech synthesizer?,2019
What is the main source of energy for a triboelectric nanogenerator?,Friction
Who was the first woman to win a Nobel Prize in Economics?,Elinor Ostrom
What is the largest species of bee?,Megachile pluto
What is the capital of Burkina Faso?,Ouagadougou
When was the first successful bioprinted bone tissue transplant?,2017
What is the primary source of energy for Earth's climate system?,Sun
Who wrote A Fine Balance?,Rohinton Mistry
What is the longest river in North America?,Mississippi
What is the currency of Burkina Faso?,Franc
When was the first successful quantum error correction?,1995
What is the main function of the amygdala?,Process emotions
Who was the first person to reach the summit of Gasherbrum IV?,Walter Bonatti
What is the largest species of ladybug?,Hippodamia convergens
What is the capital of Niger?,Niamey
When was the first successful lab-grown kidney tissue transplant?,2021
What is the primary source of energy for Earth's climate?,Sun
Who discovered the theory of gravitational lensing?,Albert Einstein
What is the largest species of termite?,Macrotermes bellicosus
What is the official language of Niger?,French
When was the first successful brain-controlled robotic exoskeleton?,2014
What is the main source of energy for a thermoelectric generator?,Heat difference
Who was the first woman to win a Nobel Prize in Literature?,Selma Lagerlöf
What is the largest species of ant?,Dinoponera
What is the capital of Chad?,N'Djamena
When was the first successful bioprinted liver tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Brief Wondrous Life of Oscar Wao?,Junot Diaz
What is the longest river in South America?,Amazon
What is the currency of Chad?,Franc
When was the first successful quantum teleportation experiment?,1997
What is the main function of the prefrontal cortex?,Decision making
Who was the first person to reach the summit of Kanchenjunga?,Joe Brown
What is the largest species of cricket?,Giant weta
What is the capital of Cameroon?,Yaounde
When was the first successful lab-grown lung tissue transplant?,2018
What is the primary source of energy for Earth's climate?,Sun
Who discovered the theory of cosmic background radiation?,Penzias and Wilson
What is the largest species of praying mantis?,Chinese mantis
What is the official language of Cameroon?,French
When was the first successful brain-controlled prosthetic leg?,2013
What is the main source of energy for a piezoelectric generator?,Mechanical stress
Who was the first woman to win a Nobel Prize in Peace?,Jane Addams
What is the largest species of cockroach?,Megaloblatta longipennis
What is the capital of Central African Republic?,Bangui
When was the first successful bioprinted cartilage tissue transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Satanic Verses?,Salman Rushdie
What is the longest river in Europe?,Volga
What is the currency of Central African Republic?,Franc
When was the first successful quantum communication satellite?,2016
What is the main function of the occipital lobe?,Visual processing
Who was the first person to reach the summit of Masherbrum?,George Bell
What is the largest species of centipede?,Scolopendra gigantea
What is the capital of Republic of the Congo?,Brazzaville
When was the first successful lab-grown heart tissue transplant?,2019
What is the primary source of energy for Earth's climate?,Sun
Who discovered the theory of supernovae?,Fritz Zwicky
What is the largest species of millipede?,Harpaphe haydeniana
What is the official language of Republic of the Congo?,French
When was the first successful brain-controlled drone flight?,2016
What is the main source of energy for a magnetohydrodynamic generator?,Plasma
Who was the first woman to win a Fields Medal?,Maryam Mirzakhani
What is the largest species of spider?,Goliath birdeater
What is the capital of Democratic Republic of the Congo?,Kinshasa
When was the first successful bioprinted bone marrow transplant?,2010
What is the primary source of energy for Earth's climate system?,Sun
Who wrote Midnight's Children?,Salman Rushdie
What is the longest river in Asia?,Yangtze
What is the currency of Democratic Republic of the Congo?,Franc
When was the first successful quantum computing demonstration?,1998
What is the main function of the temporal lobe?,Auditory processing
Who was the first person to reach the summit of Haramosh?,Heinrich Roiss
What is the largest species of scorpion?,Emperor scorpion
What is the capital of Burundi?,Gitega
When was the first successful lab-grown skin tissue transplant?,1981
What is the primary source of energy for Earth's climate?,Sun
Who discovered the theory of neutron stars?,Walter Baade
What is the largest species of grasshopper?,Giant weta
What is the official language of Burundi?,Kirundi
When was the first successful brain-controlled wheelchair?,2011
What is the main source of energy for a pyroelectric generator?,Temperature change
Who was the first woman to win a Turing Award?,Frances Allen
What is the largest species of dragonfly?,Megaloprepus caerulatus
What is the capital of Rwanda?,Kigali
When was the first successful bioprinted muscle tissue transplant?,2015
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Kite Runner?,Khaled Hosseini
What is the longest river in Australia?,Murray
What is the currency of Rwanda?,Franc
When was the first successful quantum encryption protocol?,1984
What is the main function of the parietal lobe?,Sensory integration
Who was the first person to reach the summit of Muztagh Tower?,Ian McNaught-Davis
What is the largest species of firefly?,Luciola mingrelica
What is the capital of Uganda?,Kampala
When was the first successful lab-grown cartilage transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of gamma-ray bursts?,Ray Klebesadel
What is the largest species of ladybug?,Hippodamia convergens
What is the official language of Uganda?,English
When was the first successful brain-controlled speech synthesizer?,2019
What is the main source of energy for a triboelectric nanogenerator?,Friction
Who was the first woman to win a Nobel Prize in Economics?,Elinor Ostrom
What is the largest species of bee?,Megachile pluto
What is the capital of Kenya?,Nairobi
When was the first successful bioprinted bone tissue transplant?,2017
What is the primary source of energy for Earth's climate system?,Sun
Who wrote Half of a Yellow Sun?,Chimamanda Ngozi Adichie
What is the longest river in Africa?,Nile
What is the currency of Kenya?,Shilling
When was the first successful quantum error correction protocol?,1995
What is the main function of the frontal lobe?,Executive functions
Who was the first person to reach the summit of Noshaq?,Toshiaki Sakai
What is the largest species of ant?,Dinoponera
What is the capital of Tanzania?,Dodoma
When was the first successful lab-grown kidney tissue transplant?,2021
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Shadow of the Wind?,Carlos Ruiz Zafon
What is the longest river in North America?,Mississippi
What is the currency of Tanzania?,Shilling
When was the first successful quantum teleportation over fiber?,1997
What is the main function of the limbic system?,Emotion regulation
Who was the first person to reach the summit of Minya Konka?,Richard Burdsall
What is the largest species of termite?,Macrotermes bellicosus
What is the capital of Malawi?,Lilongwe
When was the first successful bioprinted liver tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Book Thief?,Markus Zusak
What is the longest river in South America?,Amazon
What is the currency of Malawi?,Kwacha
When was the first successful quantum supremacy demonstration?,2019
What is the main function of the brainstem?,Regulate basic functions
Who was the first person to reach the summit of Kamet?,Frank Smythe
What is the largest species of cricket?,Giant weta
What is the capital of Zambia?,Lusaka
When was the first successful lab-grown lung tissue transplant?,2018
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of cosmic rays?,Victor Hess
What is the largest species of praying mantis?,Chinese mantis
What is the official language of Zambia?,English
When was the first successful brain-controlled robotic exoskeleton?,2014
What is the main source of energy for a piezoelectric energy harvester?,Mechanical stress
Who was the first woman to win a Nobel Prize in Peace?,Jane Addams
What is the largest species of cockroach?,Megaloblatta longipennis
What is the capital of Zimbabwe?,Harare
When was the first successful bioprinted cartilage tissue transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Night Circus?,Erin Morgenstern
What is the longest river in Europe?,Volga
What is the currency of Zimbabwe?,Dollar
When was the first successful quantum communication satellite launch?,2016
What is the main function of the cerebellum?,Coordinate movement
Who was the first person to reach the summit of Nanda Devi?,Bill Tilman
What is the largest species of centipede?,Scolopendra gigantea
What is the capital of Mozambique?,Maputo
When was the first successful lab-grown heart tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of supernovae?,Fritz Zwicky
What is the largest species of millipede?,Harpaphe haydeniana
What is the official language of Mozambique?,Portuguese
When was the first successful brain-controlled drone flight?,2016
What is the main source of energy for a magnetohydrodynamic generator?,Plasma
Who was the first woman to win a Fields Medal?,Maryam Mirzakhani
What is the largest species of spider?,Goliath birdeater
What is the capital of Madagascar?,Antananarivo
When was the first successful bioprinted bone marrow transplant?,2010
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Secret History?,Donna Tartt
What is the longest river in Asia?,Yangtze
What is the currency of Madagascar?,Ariary
When was the first successful quantum computing demonstration?,1998
What is the main function of the temporal lobe?,Auditory processing
Who was the first person to reach the summit of Trivor?,Wilfrid Noyce
What is the largest species of scorpion?,Emperor scorpion
What is the capital of Angola?,Luanda
When was the first successful lab-grown skin tissue transplant?,1981
What is the primary source of energy for Earth's climate?,Sun
Who discovered the theory of neutron stars?,Walter Baade
What is the largest species of grasshopper?,Giant weta
What is the official language of Angola?,Portuguese
When was the first successful brain-controlled wheelchair?,2011
What is the main source of energy for a pyroelectric generator?,Temperature change
Who was the first woman to win a Turing Award?,Frances Allen
What is the largest species of dragonfly?,Megaloprepus caerulatus
What is the capital of Namibia?,Windhoek
When was the first successful bioprinted muscle tissue transplant?,2015
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Alchemist?,Paulo Coelho
What is the longest river in Australia?,Murray
What is the currency of Namibia?,Dollar
When was the first successful quantum encryption protocol?,1984
What is the main function of the parietal lobe?,Sensory integration
Who was the first person to reach the summit of Distaghil Sar?,Günther Stärker
What is the largest species of firefly?,Luciola mingrelica
What is the capital of Botswana?,Gaborone
When was the first successful lab-grown cartilage transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of gamma-ray bursts?,Ray Klebesadel
What is the largest species of ladybug?,Hippodamia convergens
What is the official language of Botswana?,English
When was the first successful brain-controlled speech synthesizer?,2019
What is the main source of energy for a triboelectric nanogenerator?,Friction
Who was the first woman to win a Nobel Prize in Economics?,Elinor Ostrom
What is the largest species of bee?,Megachile pluto
What is the capital of Eswatini?,Mbabane
When was the first successful bioprinted bone tissue transplant?,2017
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Song of Achilles?,Madeline Miller
What is the longest river in Africa?,Nile
What is the currency of Eswatini?,Lilangeni
When was the first successful quantum error correction protocol?,1995
What is the main function of the frontal lobe?,Executive functions
Who was the first person to reach the summit of Malubiting?,Günther Stärker
What is the largest species of ant?,Dinoponera
What is the capital of Lesotho?,Maseru
When was the first successful lab-grown kidney tissue transplant?,2021
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Ocean at the End of the Lane?,Neil Gaiman
What is the longest river in North America?,Mississippi
What is the currency of Lesotho?,Loti
When was the first successful quantum teleportation over fiber?,1997
What is the main function of the limbic system?,Emotion regulation
Who was the first person to reach the summit of Saltoro Kangri?,Yutaka Ageta
What is the largest species of termite?,Macrotermes bellicosus
What is the capital of South Sudan?,Juba
When was the first successful bioprinted liver tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The House on Mango Street?,Sandra Cisneros
What is the longest river in South America?,Amazon
What is the currency of South Sudan?,Pound
When was the first successful quantum supremacy demonstration?,2019
What is the main function of the brainstem?,Regulate basic functions
Who was the first person to reach the summit of Ogre?,Chris Bonington
What is the largest species of cricket?,Giant weta
What is the capital of Eritrea?,Asmara
When was the first successful lab-grown lung tissue transplant?,2018
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of cosmic rays?,Victor Hess
What is the largest species of praying mantis?,Chinese mantis
What is the official language of Eritrea?,Tigrinya
When was the first successful brain-controlled robotic exoskeleton?,2014
What is the main source of energy for a piezoelectric energy harvester?,Mechanical stress
Who was the first woman to win a Nobel Prize in Peace?,Jane Addams
What is the largest species of cockroach?,Megaloblatta longipennis
What is the capital of Djibouti?,Djibouti City
When was the first successful bioprinted cartilage tissue transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Bluest Eye?,Toni Morrison
What is the longest river in Europe?,Volga
What is the currency of Djibouti?,Franc
When was the first successful quantum communication satellite launch?,2016
What is the main function of the cerebellum?,Coordinate movement
Who was the first person to reach the summit of Skyang Kangri?,Yoshioki Fujio
What is the largest species of centipede?,Scolopendra gigantea
What is the capital of Somalia?,Mogadishu
When was the first successful lab-grown heart tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of supernovae?,Fritz Zwicky
What is the largest species of millipede?,Harpaphe haydeniana
What is the official language of Somalia?,Somali
When was the first successful brain-controlled drone flight?,2016
What is the main source of energy for a magnetohydrodynamic generator?,Plasma
Who was the first woman to win a Fields Medal?,Maryam Mirzakhani
What is the largest species of spider?,Goliath birdeater
What is the capital of Ethiopia?,Addis Ababa
When was the first successful bioprinted bone marrow transplant?,2010
What is the primary source of energy for Earth's climate system?,Sun
Who wrote Americanah?,Chimamanda Ngozi Adichie
What is the longest river in Asia?,Yangtze
What is the currency of Ethiopia?,Birr
When was the first successful quantum computing demonstration?,1998
What is the main function of the temporal lobe?,Auditory processing
Who was the first person to reach the summit of Kun?,Mario Fantin
What is the largest species of scorpion?,Emperor scorpion
What is the capital of South Africa?,Pretoria
When was the first successful lab-grown skin tissue transplant?,1981
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of neutron stars?,Walter Baade
What is the largest species of grasshopper?,Giant weta
What is the official language of South Africa?,English
When was the first successful brain-controlled wheelchair?,2011
What is the main source of energy for a pyroelectric generator?,Temperature change
Who was the first woman to win a Turing Award?,Frances Allen
What is the largest species of dragonfly?,Megaloprepus caerulatus
What is the capital of Nigeria?,Abuja
When was the first successful bioprinted muscle tissue transplant?,2015
What is the primary source of energy for Earth's climate system?,Sun
Who wrote Beloved?,Toni Morrison
What is the longest river in Australia?,Murray
What is the currency of Nigeria?,Naira
When was the first successful quantum encryption protocol?,1984
What is the main function of the parietal lobe?,Sensory integration
Who was the first person to reach the summit of Pumori?,Gerhard Lenser
What is the largest species of firefly?,Luciola mingrelica
What is the capital of Algeria?,Algiers
When was the first successful lab-grown cartilage transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of gamma-ray bursts?,Ray Klebesadel
What is the largest species of ladybug?,Hippodamia convergens
What is the official language of Algeria?,Arabic
When was the first successful brain-controlled speech synthesizer?,2019
What is the main source of energy for a triboelectric nanogenerator?,Friction
Who was the first woman to win a Nobel Prize in Economics?,Elinor Ostrom
What is the largest species of bee?,Megachile pluto
What is the capital of Morocco?,Rabat
When was the first successful bioprinted bone tissue transplant?,2017
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The God of Small Things?,Arundhati Roy
What is the longest river in Africa?,Nile
What is the currency of Morocco?,Dirham
When was the first successful quantum error correction protocol?,1995
What is the main function of the frontal lobe?,Executive functions
Who was the first person to reach the summit of Ama Dablam?,Mike Gill
What is the largest species of ant?,Dinoponera
What is the capital of Tunisia?,Tunis
When was the first successful lab-grown kidney tissue transplant?,2021
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Shadow of the Wind?,Carlos Ruiz Zafon
What is the longest river in North America?,Mississippi
What is the currency of Tunisia?,Dinar
When was the first successful quantum teleportation over fiber?,1997
What is the main function of the limbic system?,Emotion regulation
Who was the first person to reach the summit of Jannu?,René Desmaison
What is the largest species of termite?,Macrotermes bellicosus
What is the capital of Libya?,Tripoli
When was the first successful bioprinted liver tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Book Thief?,Markus Zusak
What is the longest river in South America?,Amazon
What is the currency of Libya?,Dinar
When was the first successful quantum supremacy demonstration?,2019
What is the main function of the brainstem?,Regulate basic functions
Who was the first person to reach the summit of Chogolisa?,Hermann Buhl
What is the largest species of cricket?,Giant weta
What is the capital of Egypt?,Cairo
When was the first successful lab-grown lung tissue transplant?,2018
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of cosmic rays?,Victor Hess
What is the largest species of praying mantis?,Chinese mantis
What is the official language of Egypt?,Arabic
When was the first successful brain-controlled robotic exoskeleton?,2014
What is the main source of energy for a piezoelectric energy harvester?,Mechanical stress
Who was the first woman to win a Nobel Prize in Peace?,Jane Addams
What is the largest species of cockroach?,Megaloblatta longipennis
What is the capital of Sudan?,Khartoum
When was the first successful bioprinted cartilage tissue transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Night Circus?,Erin Morgenstern
What is the longest river in Europe?,Volga
What is the currency of Sudan?,Pound
When was the first successful quantum communication satellite launch?,2016
What is the main function of the cerebellum?,Coordinate movement
Who was the first person to reach the summit of Diran?,Rainer Goeschl
What is the largest species of centipede?,Scolopendra gigantea
What is the capital of Mauritania?,Nouakchott
When was the first successful lab-grown heart tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of supernovae?,Fritz Zwicky
What is the largest species of millipede?,Harpaphe haydeniana
What is the official language of Mauritania?,Arabic
When was the first successful brain-controlled drone flight?,2016
What is the main source of energy for a magnetohydrodynamic generator?,Plasma
Who was the first woman to win a Fields Medal?,Maryam Mirzakhani
What is the largest species of spider?,Goliath birdeater
What is the capital of Mali?,Bamako
When was the first successful bioprinted bone marrow transplant?,2010
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Secret History?,Donna Tartt
What is the longest river in Asia?,Yangtze
What is the currency of Mali?,Franc
When was the first successful quantum computing demonstration?,1998
What is the main function of the temporal lobe?,Auditory processing
Who was the first person to reach the summit of Malika Parbat?,Unknown
What is the largest species of scorpion?,Emperor scorpion
What is the capital of Senegal?,Dakar
When was the first successful lab-grown skin tissue transplant?,1981
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of neutron stars?,Walter Baade
What is the largest species of grasshopper?,Giant weta
What is the official language of Senegal?,French
When was the first successful brain-controlled wheelchair?,2011
What is the main source of energy for a pyroelectric generator?,Temperature change
Who was the first woman to win a Turing Award?,Frances Allen
What is the largest species of dragonfly?,Megaloprepus caerulatus
What is the capital of Ivory Coast?,Yamoussoukro
When was the first successful bioprinted muscle tissue transplant?,2015
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Alchemist?,Paulo Coelho
What is the longest river in Australia?,Murray
What is the currency of Ivory Coast?,Franc
When was the first successful quantum encryption protocol?,1984
What is the main function of the parietal lobe?,Sensory integration
Who was the first person to reach the summit of Spantik?,Fritz Kasparek
What is the largest species of firefly?,Luciola mingrelica
What is the capital of Burkina Faso?,Ouagadougou
When was the first successful lab-grown cartilage transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of gamma-ray bursts?,Ray Klebesadel
What is the largest species of ladybug?,Hippodamia convergens
What is the official language of Burkina Faso?,French
When was the first successful brain-controlled speech synthesizer?,2019
What is the main source of energy for a triboelectric nanogenerator?,Friction
Who was the first woman to win a Nobel Prize in Economics?,Elinor Ostrom
What is the largest species of bee?,Megachile pluto
What is the capital of Niger?,Niamey
When was the first successful bioprinted bone tissue transplant?,2017
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Song of Achilles?,Madeline Miller
What is the longest river in Africa?,Nile
What is the currency of Niger?,Franc
When was the first successful quantum error correction protocol?,1995
What is the main function of the frontal lobe?,Executive functions
Who was the first person to reach the summit of Latok I?,Michael Kennedy
What is the largest species of ant?,Dinoponera
What is the capital of Chad?,N'Djamena
When was the first successful lab-grown kidney tissue transplant?,2021
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Ocean at the End of the Lane?,Neil Gaiman
What is the longest river in North America?,Mississippi
What is the currency of Chad?,Franc
When was the first successful quantum teleportation over fiber?,1997
What is the main function of the limbic system?,Emotion regulation
Who was the first person to reach the summit of The Ogre?,Chris Bonington
What is the largest species of termite?,Macrotermes bellicosus
What is the capital of Cameroon?,Yaounde
When was the first successful bioprinted liver tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The House on Mango Street?,Sandra Cisneros
What is the longest river in South America?,Amazon
What is the currency of Cameroon?,Franc
When was the first successful quantum supremacy demonstration?,2019
What is the main function of the brainstem?,Regulate basic functions
Who was the first person to reach the summit of Istor-o-Nal?,Josep Manuel Anglada
What is the largest species of cricket?,Giant weta
What is the capital of Central African Republic?,Bangui
When was the first successful lab-grown lung tissue transplant?,2018
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of cosmic rays?,Victor Hess
What is the largest species of praying mantis?,Chinese mantis
What is the official language of Central African Republic?,French
When was the first successful brain-controlled robotic exoskeleton?,2014
What is the main source of energy for a piezoelectric energy harvester?,Mechanical stress
Who was the first woman to win a Nobel Prize in Peace?,Jane Addams
What is the largest species of cockroach?,Megaloblatta longipennis
What is the capital of Republic of the Congo?,Brazzaville
When was the first successful bioprinted cartilage tissue transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Bluest Eye?,Toni Morrison
What is the longest river in Europe?,Volga
What is the currency of Republic of the Congo?,Franc
When was the first successful quantum communication satellite launch?,2016
What is the main function of the cerebellum?,Coordinate movement
Who was the first person to reach the summit of Lupghar Sar?,Hans Gloggner
What is the largest species of centipede?,Scolopendra gigantea
What is the capital of Democratic Republic of the Congo?,Kinshasa
When was the first successful lab-grown heart tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of supernovae?,Fritz Zwicky
What is the largest species of millipede?,Harpaphe haydeniana
What is the official language of Democratic Republic of the Congo?,French
When was the first successful brain-controlled drone flight?,2016
What is the main source of energy for a magnetohydrodynamic generator?,Plasma
Who was the first woman to win a Fields Medal?,Maryam Mirzakhani
What is the largest species of spider?,Goliath birdeater
What is the capital of Burundi?,Gitega
When was the first successful bioprinted bone marrow transplant?,2010
What is the primary source of energy for Earth's climate system?,Sun
Who wrote Americanah?,Chimamanda Ngozi Adichie
What is the longest river in Asia?,Yangtze
What is the currency of Burundi?,Franc
When was the first successful quantum computing demonstration?,1998
What is the main function of the temporal lobe?,Auditory processing
Who was the first person to reach the summit of Ultar Sar?,Akihito Yamazaki
What is the largest species of scorpion?,Emperor scorpion
What is the capital of Rwanda?,Kigali
When was the first successful lab-grown skin tissue transplant?,1981
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of neutron stars?,Walter Baade
What is the largest species of grasshopper?,Giant weta
What is the official language of Rwanda?,Kinyarwanda
When was the first successful brain-controlled wheelchair?,2011
What is the main source of energy for a pyroelectric generator?,Temperature change
Who was the first woman to win a Turing Award?,Frances Allen
What is the largest species of dragonfly?,Megaloprepus caerulatus
What is the capital of Uganda?,Kampala
When was the first successful bioprinted muscle tissue transplant?,2015
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Kite Runner?,Khaled Hosseini
What is the longest river in Australia?,Murray
What is the currency of Uganda?,Shilling
When was the first successful quantum encryption protocol?,1984
What is the main function of the parietal lobe?,Sensory integration
Who was the first person to reach the summit of Bojohagur Duanasir?,Tsuneo Hasegawa
What is the largest species of firefly?,Luciola mingrelica
What is the capital of Kenya?,Nairobi
When was the first successful lab-grown cartilage transplant?,2016
What is the primary source of energy for Earth's climate system?,Sun
Who discovered the theory of gamma-ray bursts?,Ray Klebesadel
What is the largest species of ladybug?,Hippodamia convergens
What is the official language of Kenya?,Swahili
When was the first successful brain-controlled speech synthesizer?,2019
What is the main source of energy for a triboelectric nanogenerator?,Friction
Who was the first woman to win a Nobel Prize in Economics?,Elinor Ostrom
What is the largest species of bee?,Megachile pluto
What is the capital of Tanzania?,Dodoma
When was the first successful bioprinted bone tissue transplant?,2017
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Shadow of the Wind?,Carlos Ruiz Zafon
What is the longest river in Africa?,Nile
What is the currency of Tanzania?,Shilling
When was the first successful quantum error correction protocol?,1995
What is the main function of the frontal lobe?,Executive functions
Who was the first person to reach the summit of Shispare?,Hiroshi Sakai
What is the largest species of ant?,Dinoponera
What is the capital of Malawi?,Lilongwe
When was the first successful lab-grown kidney tissue transplant?,2021
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Book Thief?,Markus Zusak
What is the longest river in North America?,Mississippi
What is the currency of Malawi?,Kwacha
When was the first successful quantum teleportation over fiber?,1997
What is the main function of the limbic system?,Emotion regulation
Who was the first person to reach the summit of Yukshin Gardan Sar?,Wolfgang Axt
What is the largest species of termite?,Macrotermes bellicosus
What is the capital of Zambia?,Lusaka
When was the first successful bioprinted liver tissue transplant?,2019
What is the primary source of energy for Earth's climate system?,Sun
Who wrote The Night Circus?,Erin Morgenstern
What is the longest river in South America?,Amazon
What is the currency of Zambia?,Kwacha
When was the first successful quantum supremacy demonstration?,2019
What is the main function of the brainstem?,Regulate basic functions
Who was the first person to reach the summit of Batura Sar?,Hubert Ble
